pipe_genesymbol	ligand name	ligand_pubchem_sid	ligand_type	LRID
GPR63	sphingosine 1-phosphate	135651563	Metabolite	LR08402
GPR87	LPA	135651509	Metabolite	LR08403
MRGPRD	beta-alanine	135651448	Metabolite	LR08404
P2RY10	LPA	135651509	Metabolite	LR08405
P2RY10	sphingosine 1-phosphate	135651563	Metabolite	LR08406
PTGIR	PGI2	135651541	Metabolite	LR08407
PTGIR	PGE1	135650814	Natural product	LR08408
KCNK10	arachidonic acid	135651442	Metabolite	LR08409
KCNK18	arachidonic acid	135651442	Metabolite	LR08410
KCNK2	arachidonic acid	135651442	Metabolite	LR08411
KCNK4	arachidonic acid	135651442	Metabolite	LR08412
KCNN1	Ca2+	135652731	Inorganic	LR08413
KCNN2	Ca2+	135652731	Inorganic	LR08414
KCNJ12	Mg2+	135652741	Inorganic	LR08415
KCNJ4	arachidonic acid	135651442	Metabolite	LR08416
KCNJ4	Mg2+	135652741	Inorganic	LR08417
KCNJ4	putrescine	135651553	Metabolite	LR08418
KCNJ4	spermidine	135651561	Metabolite	LR08419
KCNJ4	spermine	135651562	Metabolite	LR08420
KCNJ4	H+	135652738	Inorganic	LR08421
KCNJ14	H+	135652738	Inorganic	LR08423
KCNJ3	Na+	135652743	Inorganic	LR08424
KCNJ6	Na+	135652743	Inorganic	LR08425
KCNJ9	PIP2	135651544	Metabolite	LR08426
KCNJ5	Na+	135652743	Inorganic	LR08427
KCNJ5	PIP2	135651544	Metabolite	LR08428
KCNQ2	PIP2	135651544	Metabolite	LR08429
KCNQ4	PIP2	135651544	Metabolite	LR08430
LPAR2	farnesyl diphosphate	135651487	Metabolite	LR08431
LPAR2	LPA	135651509	Metabolite	LR08432
LPAR3	LPA	135651509	Metabolite	LR08433
LPAR3	farnesyl diphosphate	135651487	Metabolite	LR08434
LPAR3	farnesyl monophosphate	135651488	Metabolite	LR08436
LPAR4	LPA	135651509	Metabolite	LR08438
LPAR4	farnesyl diphosphate	135651487	Metabolite	LR08439
LPAR5	farnesyl monophosphate	135651488	Metabolite	LR08440
LPAR5	LPA	135651509	Metabolite	LR08441
LPAR5	farnesyl diphosphate	135651487	Metabolite	LR08443
LPAR5	N-arachidonoylglycine	178100542	Metabolite	LR08444
LPAR6	LPA	135651509	Metabolite	LR08445
GRM1	L-glutamic acid	135651501	Metabolite	LR08446
GRM2	L-glutamic acid	135651501	Metabolite	LR08447
GRM3	L-glutamic acid	135651501	Metabolite	LR08449
GRM3	NAAG	135651520	Metabolite	LR08451
GRM4	L-glutamic acid	135651501	Metabolite	LR08452
GRM5	L-glutamic acid	135651501	Metabolite	LR08453
GRM6	L-glutamic acid	135651501	Metabolite	LR08454
GRM6	L-serine-O-phosphate	135651511	Metabolite	LR08456
GRM7	L-glutamic acid	135651501	Metabolite	LR08458
GRM7	L-serine-O-phosphate	135651511	Metabolite	LR08459
GRM8	L-glutamic acid	135651501	Metabolite	LR08460
GRM8	L-serine-O-phosphate	135651511	Metabolite	LR08462
CHRM1	acetylcholine	135651424	Metabolite	LR08463
CHRM2	acetylcholine	135651424	Metabolite	LR08464
CHRM3	acetylcholine	135651424	Metabolite	LR08465
CHRM4	acetylcholine	135651424	Metabolite	LR08466
CHRM5	acetylcholine	135651424	Metabolite	LR08467
MTNR1A	melatonin	135651518	Metabolite	LR08468
MTNR1B	melatonin	135651518	Metabolite	LR08469
OPRM1	endomorphin-1	135652148	Peptide	LR08470
TACR1	neuropeptide-gamma	135652324	Peptide	LR08471
OXER1	5-oxo-15-HETE	178102788	Metabolite	LR08472
OXER1	5-oxo-20-HETE	178102790	Metabolite	LR08473
OXER1	5-oxo-C20:3	135651414	Metabolite	LR08474
OXER1	5-oxo-ETE	135651415	Metabolite	LR08475
OXER1	5-oxo-ODE	178102785	Metabolite	LR08476
OXER1	5S-HETE	135651416	Metabolite	LR08477
OXER1	5S-HPETE	53801093	Metabolite	LR08478
OXER1	5-oxo-12-HETE	178102792	Metabolite	LR08479
OXGR1	alpha-ketoglutaric acid	178100543	Metabolite	LR08480
P2RX1	ATP	135651446	Metabolite	LR08481
P2RX3	ATP	135651446	Metabolite	LR08482
P2RX4	ATP	135651446	Metabolite	LR08483
P2RX7	ATP	135651446	Metabolite	LR08484
P2RY11	ATP	135651446	Metabolite	LR08485
P2RY11	uridine triphosphate	135651592	Metabolite	LR08486
P2RY12	ADP	135651427	Metabolite	LR08487
P2RY13	ADP	135651427	Metabolite	LR08488
P2RY13	ATP	135651446	Metabolite	LR08489
P2RY14	UDP-galactose	135651585	Metabolite	LR08490
P2RY14	uridine diphosphate	135651583	Metabolite	LR08491
P2RY1	ADP	135651427	Metabolite	LR08492
P2RY1	ATP	135651446	Metabolite	LR08493
P2RY2	ATP	135651446	Metabolite	LR08495
P2RY2	uridine triphosphate	135651592	Metabolite	LR08496
P2RY4	ATP	135651446	Metabolite	LR08497
P2RY4	uridine triphosphate	135651592	Metabolite	LR08498
P2RY6	uridine diphosphate	135651583	Metabolite	LR08499
PTAFR	PAF	135651534	Metabolite	LR08500
PLD2	oleic acid	135651531	Metabolite	LR08502
PLD2	PIP2	135651544	Metabolite	LR08503
PRKCZ	arachidonic acid	135651442	Metabolite	LR08504
PTH2R	PTHrP-(1-34)	135652422	Peptide	LR08505
S1PR1	sphingosine 1-phosphate	135651563	Metabolite	LR08506
S1PR2	sphingosine 1-phosphate	135651563	Metabolite	LR08509
S1PR3	sphingosine 1-phosphate	135651563	Metabolite	LR08510
S1PR4	sphingosine 1-phosphate	135651563	Metabolite	LR08513
S1PR5	sphingosine 1-phosphate	135651563	Metabolite	LR08514
SUCNR1	maleic acid	340590260	Synthetic organic	LR08515
SUCNR1	succinic acid	178100544	Metabolite	LR08516
TAAR1	beta-phenylethylamine	135652016	Metabolite	LR08517
TAAR1	tyramine	135651582	Metabolite	LR08518
TBXA2R	PGE2	135651539	Metabolite	LR08519
TBXA2R	PGF2alpha	135651540	Metabolite	LR08520
TRPA1	methylglyoxal	178102922	Metabolite	LR08521
TRPM1	pregnenolone sulphate	178101107	Metabolite	LR08522
TRPM2	PIP2	135651544	Metabolite	LR08523
TRPM2	ADP ribose	135651429	Metabolite	LR08524
TRPM2	cADPR	135651450	Metabolite	LR08525
TRPM2	H2O2	135652736	Inorganic	LR08526
TRPM2	NAADP	53801022	Metabolite	LR08527
TRPM2	NAD	135651521	Metabolite	LR08528
TRPM2	arachidonic acid	135651442	Metabolite	LR08529
TRPM3	dihydrosphingosine	135651473	Metabolite	LR08530
TRPM3	NN-dimethyl-D-erythrosphingosine	135650729	Metabolite	LR08531
TRPM3	sphingosine	53801018	Metabolite	LR08532
TRPM3	epipregnanolone sulphate	178101006	Metabolite	LR08533
TRPM3	pregnenolone sulphate	178101107	Metabolite	LR08534
TRPM4	Ca2+	135652731	Inorganic	LR08535
TRPM4	PIP2	135651544	Metabolite	LR08536
TRPM4	ATP	135651446	Metabolite	LR08537
TRPM4	adenosine 5'-monophosphate	53801012	Metabolite	LR08538
TRPM4	ADP	135651427	Metabolite	LR08539
TRPM6	Mg2+	135652741	Inorganic	LR08540
MCOLN1	phosphatidyl (3,5) inositol bisphosphate	178100233	Metabolite	LR08541
TRPV1	anandamide	135651438	Metabolite	LR08542
ZACN	Cu2+	178100984	Inorganic	LR08544
ZACN	H+	135652738	Inorganic	LR08545
ZACN	Zn2+	135652747	Inorganic	LR08546
