genesymbol,seqname,start,end
PRKCZ,chr1,2050411,2185395
ENSG00000271806,chr1,2141084,2145279
PRKCZ-AS1,chr1,2181794,2184389
FAAP20,chr1,2184461,2212720
ENSG00000234396,chr1,2212523,2220738
SKI,chr1,2228319,2310213
ENSG00000287356,chr1,2315040,2323085
MORN1,chr1,2321253,2391707
ENSG00000272161,chr1,2326201,2326693
ENSG00000269896,chr1,2350414,2352820
ENSG00000272420,chr1,2363061,2363628
RER1,chr1,2391775,2405442
PEX10,chr1,2403964,2413797
PLCH2,chr1,2425980,2505532
ENSG00000224387,chr1,2492300,2493258
ENSG00000229393,chr1,2493437,2494479
PANK4,chr1,2508537,2526597
HES5,chr1,2528745,2530263
ENSG00000272449,chr1,2530064,2547460
TNFRSF14-AS1,chr1,2549920,2557031
TNFRSF14,chr1,2555639,2565382
ENSG00000225931,chr1,2566410,2569888
ENSG00000228037,chr1,2581560,2584533
ENSG00000289610,chr1,2585612,2586060
PRXL2B,chr1,2586491,2591469
MMEL1,chr1,2590639,2633016
MMEL1-AS1,chr1,2632568,2636620
TTC34,chr1,2635976,2801717
ENSG00000285945,chr1,2768091,2784733
ENSG00000283259,chr1,2773603,2776473
ENSG00000233234,chr1,2811850,2812692
ENSG00000287396,chr1,2814056,2817767
ENSG00000231630,chr1,2814432,2814998
ENSG00000284745,chr1,2960658,2968707
ACTRT2,chr1,3021467,3022903
PRDM16-DT,chr1,3059611,3069088
PRDM16,chr1,3069168,3438621
MIR4251,chr1,3127975,3128035
ENSG00000226286,chr1,3132927,3133709
ENSG00000279839,chr1,3205988,3208664
ENSG00000272235,chr1,3306636,3310096
ENSG00000287828,chr1,3313052,3323149
ENSG00000286518,chr1,3367815,3373928
ARHGEF16,chr1,3454665,3481113
ENSG00000272088,chr1,3487246,3487627
MEGF6,chr1,3487951,3611508
MIR551A,chr1,3560695,3560790
ENSG00000238260,chr1,3622857,3624786
TPRG1L,chr1,3625015,3630127
WRAP73,chr1,3630767,3652761
TP73,chr1,3652516,3736201
TP73-AS3,chr1,3658938,3668772
TP73-AS2,chr1,3712200,3714298
TP73-AS1,chr1,3735511,3747373
ENSG00000276189,chr1,3736943,3737103
CCDC27,chr1,3746460,3771645
SMIM1,chr1,3772749,3775982
LRRC47,chr1,3778559,3796498
RN7SL574P,chr1,3782815,3783111
ENSG00000272153,chr1,3785008,3785538
CEP104,chr1,3812086,3857396
DFFB,chr1,3857267,3885429
C1orf174,chr1,3889125,3900293
LINC01134,chr1,3900352,3917225
LINC01346,chr1,3940486,3955262
LINC01345,chr1,3944547,3949024
LINC02780,chr1,3976133,4012704
ENSG00000284703,chr1,4012921,4019508
EEF1DP6,chr1,4175528,4175899
LINC01777,chr1,4412027,4424689
ENSG00000284694,chr1,4479131,4484375
ENSG00000227169,chr1,4551735,4552145
LINC01646,chr1,4571481,4594016
AJAP1,chr1,4654609,4792534
ENSG00000287586,chr1,4730211,4734992
ENSG00000284739,chr1,4963954,4973298
LINC02781,chr1,4973381,4981568
LINC02782,chr1,5086459,5090899
ENSG00000284616,chr1,5301928,5307394
ENSG00000284692,chr1,5478736,5493057
ENSG00000284666,chr1,5480787,5482028
ENSG00000260972,chr1,5492978,5494674
ENSG00000283356,chr1,5554747,5554881
ENSG00000236948,chr1,5561709,5668295
ENSG00000264341,chr1,5564071,5564143
MIR4689,chr1,5862672,5862741
NPHP4,chr1,5862811,5992473
KCNAB2,chr1,5990927,6101193
CHD5,chr1,6101787,6180321
ENSG00000285629,chr1,6159430,6197757
RPL22,chr1,6185020,6209389
RNF207-AS1,chr1,6204840,6205780
RNF207,chr1,6205475,6221299
ICMT,chr1,6221193,6235972
LINC00337,chr1,6234692,6239444
HES3,chr1,6244179,6245578
GPR153,chr1,6247353,6261098
ACOT7,chr1,6264269,6393767
ENSG00000271746,chr1,6393555,6394391
HES2,chr1,6412418,6424670
ESPN,chr1,6424776,6461367
MIR4252,chr1,6429834,6429896
ENSG00000231868,chr1,6443034,6447006
TNFRSF25,chr1,6460786,6466175
PLEKHG5,chr1,6467122,6520074
NOL9,chr1,6521347,6554513
RNU6-731P,chr1,6540854,6540964
ENSG00000229519,chr1,6547905,6548619
TAS1R1,chr1,6555307,6579755
ZBTB48,chr1,6579994,6589280
KLHL21,chr1,6590724,6614607
PHF13,chr1,6613731,6624030
THAP3,chr1,6624868,6635586
DNAJC11,chr1,6634168,6701924
LINC01672,chr1,6724637,6730012
ENSG00000284744,chr1,6767954,6770038
CAMTA1-DT,chr1,6783892,6784843
CAMTA1,chr1,6785454,7769706
ENSG00000227950,chr1,6834333,6834618
ENSG00000237365,chr1,7008376,7014279
RNU1-8P,chr1,7219360,7219524
CAMTA1-IT1,chr1,7368942,7370270
CAMTA1-AS2,chr1,7382487,7389754
CAMTA1-AS1,chr1,7441096,7441554
ENSG00000270171,chr1,7693124,7694844
ENSG00000270035,chr1,7698303,7698872
ENSG00000269978,chr1,7700704,7700970
VAMP3,chr1,7771296,7781432
ENSG00000269925,chr1,7776383,7776775
PER3,chr1,7784291,7845177
ENSG00000236266,chr1,7810242,7827342
UTS2,chr1,7843083,7853512
TNFRSF9,chr1,7915871,7943165
ENSG00000270330,chr1,7942372,7942726
PARK7,chr1,7954291,7985505
Y_RNA,chr1,7982881,7982983
ENSG00000284747,chr1,7991134,8005312
ENSG00000284716,chr1,7998187,7999934
ERRFI1,chr1,8004404,8026309
ENSG00000238290,chr1,8026738,8122702
ENSG00000232848,chr1,8057245,8058463
ENSG00000229305,chr1,8189824,8192770
ENSG00000288816,chr1,8191692,8194926
LINC01714,chr1,8201518,8215210
RNU1-7P,chr1,8206434,8206597
ENSG00000233645,chr1,8218190,8220529
RNU6-991P,chr1,8292157,8292263
SLC45A1,chr1,8318114,8344167
Y_RNA,chr1,8328067,8328179
RERE,chr1,8352397,8848921
RERE-AS1,chr1,8424645,8435013
ENSG00000221083,chr1,8511795,8511919
ENSG00000270282,chr1,8512653,8513021
RPL7P11,chr1,8750430,8751087
RPL7P7,chr1,8786211,8786913
Y_RNA,chr1,8796571,8796673
ENSG00000226545,chr1,8798475,8799506
ENSG00000228423,chr1,8805860,8807051
RPL23AP19,chr1,8831007,8831375
ENO1,chr1,8861000,8879190
MIR6728,chr1,8866502,8866590
ENO1-AS1,chr1,8878835,8879894
RNU6-304P,chr1,8883427,8883533
HMGN2P17,chr1,8893409,8894151
ENSG00000232208,chr1,8907393,8907744
ENSG00000232663,chr1,8909742,8909904
CA6,chr1,8945867,8975092
RN7SL451P,chr1,8979576,8979874
SLC2A7,chr1,9002973,9026423
SLC2A5,chr1,9035106,9088478
ENSG00000252404,chr1,9082696,9082879
GPR157,chr1,9100305,9129102
MIR34AHG,chr1,9148011,9198906
MIR34A,chr1,9151668,9151777
LNCTAM34A,chr1,9182004,9196284
H6PD,chr1,9234774,9271337
SPSB1,chr1,9292894,9369532
ENSG00000284652,chr1,9421098,9422862
LINC02606,chr1,9425094,9440564
RNA5SP40,chr1,9437669,9437778
ENSG00000235263,chr1,9501092,9503471
SLC25A33,chr1,9539465,9585173
ENSG00000231181,chr1,9576427,9576985
TMEM201,chr1,9588911,9614877
PIK3CD,chr1,9651731,9729114
PIK3CD-AS1,chr1,9652610,9654586
ENSG00000233268,chr1,9660828,9662626
PIK3CD-AS2,chr1,9672405,9687573
CLSTN1,chr1,9728926,9823984
MZT1P1,chr1,9780822,9781240
ENSG00000280113,chr1,9826289,9828271
CTNNBIP1,chr1,9848276,9910336
ENSG00000223989,chr1,9848318,9850154
ENSG00000285701,chr1,9900614,9908034
LZIC,chr1,9922113,9943407
ENSG00000228150,chr1,9942923,9949974
NMNAT1,chr1,9943428,9985501
RN7SKP269,chr1,9947318,9947636
TMEM274P,chr1,9950572,9960787
MIR5697,chr1,9967381,9967458
ENSG00000241326,chr1,9983141,9984568
RBP7,chr1,9997206,10016021
UBE4B,chr1,10032832,10181239
ENSG00000224340,chr1,10054445,10054781
PGAM1P11,chr1,10058671,10059648
RNU6-828P,chr1,10163268,10163374
KIF1B,chr1,10210570,10381603
ENSG00000264881,chr1,10227718,10227803
RNU6-37P,chr1,10298966,10299072
RN7SL731P,chr1,10306465,10306757
ENSG00000284735,chr1,10381906,10387150
ENSG00000284642,chr1,10395416,10397432
PGD,chr1,10398592,10420511
ENSG00000271989,chr1,10429881,10430677
CENPS-CORT,chr1,10430102,10452153
CENPS,chr1,10430433,10442808
CORT,chr1,10450031,10451998
DFFA,chr1,10456522,10472529
ENSG00000203469,chr1,10458555,10459338
PEX14,chr1,10472288,10630758
ENSG00000287727,chr1,10612222,10616452
RN7SL614P,chr1,10616836,10617115
CASZ1,chr1,10636604,10796650
ENSG00000272078,chr1,10639241,10654333
HSPE1P24,chr1,10895761,10895998
C1orf127,chr1,10946471,10982037
CFL1P6,chr1,10990978,10991797
TARDBP,chr1,11012344,11030528
MASP2,chr1,11026523,11047239
SRM,chr1,11054584,11060020
EXOSC10,chr1,11066618,11099869
ENSG00000226849,chr1,11068471,11073097
EXOSC10-AS1,chr1,11099430,11102100
MTOR,chr1,11106535,11262551
MTOR-AS1,chr1,11143898,11149537
RNU6-537P,chr1,11152350,11152452
ANGPTL7,chr1,11189355,11195981
RNU6-291P,chr1,11226254,11226360
RPL39P6,chr1,11232963,11233112
UBIAD1,chr1,11273198,11296049
UBE2V2P3,chr1,11278616,11279351
ENSG00000284646,chr1,11311734,11319093
MTCYBP45,chr1,11425257,11425821
DISP3,chr1,11479155,11537551
ENSG00000285833,chr1,11500803,11502016
LINC01647,chr1,11609468,11613358
ENSG00000284708,chr1,11623558,11643416
FBXO2,chr1,11637018,11655785
FBXO44,chr1,11654375,11663327
FBXO6,chr1,11664200,11674354
MAD2L2,chr1,11674480,11691650
DRAXIN,chr1,11691710,11725857
AGTRAP,chr1,11736084,11754802
C1orf167,chr1,11761787,11789585
C1orf167-AS1,chr1,11777077,11779619
MTHFR,chr1,11785723,11806455
CLCN6,chr1,11806096,11848079
ENSG00000276470,chr1,11843812,11843984
ENSG00000278852,chr1,11845549,11845697
NPPA,chr1,11845709,11848345
ENSG00000275915,chr1,11847442,11847549
NPPB,chr1,11857464,11858945
SBF1P2,chr1,11877770,11880406
ENSG00000285646,chr1,11907940,11914298
RNU5E-1,chr1,11908152,11908271
RNU5E-4P,chr1,11909808,11909927
KIAA2013,chr1,11919591,11926428
PLOD1,chr1,11934205,11975538
ENSG00000287384,chr1,11979533,11980127
MFN2,chr1,11980181,12015211
ENSG00000270914,chr1,12017216,12017308
MIIP,chr1,12019466,12032045
Y_RNA,chr1,12024012,12024124
MIR6729,chr1,12029158,12029222
RN7SL649P,chr1,12036740,12037014
TNFRSF8,chr1,12063303,12144207
RNU6-777P,chr1,12077881,12077984
RPL23AP89,chr1,12080293,12080547
ENSG00000285604,chr1,12088441,12092264
MIR7846,chr1,12166943,12167038
TNFRSF1B,chr1,12166991,12209228
MIR4632,chr1,12191713,12191773
RPL10P17,chr1,12220794,12221109
SNORA70,chr1,12221148,12221271
VPS13D,chr1,12230030,12512047
SNORA59A,chr1,12507246,12507397
LINC02766,chr1,12525738,12530462
DHRS3,chr1,12567910,12618210
RNU6ATAC18P,chr1,12569972,12570072
MIR6730,chr1,12578957,12579023
ENSG00000288927,chr1,12618389,12618987
ENSG00000272482,chr1,12618900,12619244
AADACL4,chr1,12644085,12667076
ENSG00000226166,chr1,12692909,12693020
AADACL3,chr1,12716110,12728760
C1orf158,chr1,12746200,12763699
PRAMEF12,chr1,12773738,12777906
PRAMEF1,chr1,12791397,12796628
LINC01784,chr1,12822686,12823159
PRAMEF11,chr1,12824605,12831410
PRAMEF30P,chr1,12838125,12841357
HNRNPCL1,chr1,12847377,12848720
PRAMEF2,chr1,12857086,12861909
PRAMEF4,chr1,12879212,12886201
PRAMEF10,chr1,12892896,12898270
PRAMEF7,chr1,12916610,12920482
RNU6-1072P,chr1,12922554,12922660
PRAMEF29P,chr1,12926162,12928253
PRAMEF6,chr1,12938472,12947580
PRAMEF28P,chr1,13029339,13032130
PRAMEF27,chr1,13049476,13056575
HNRNPCL3,chr1,13060769,13062878
PRAMEF25,chr1,13068677,13077884
PRAMEF34P,chr1,13095179,13097971
PRAMEF35P,chr1,13104403,13105689
HNRNPCL2,chr1,13115488,13116854
PRAMEF36P,chr1,13128818,13131615
ENSG00000233336,chr1,13146981,13147460
PRAMEF26,chr1,13148907,13156009
HNRNPCL4,chr1,13163914,13165631
PRAMEF9,chr1,13171848,13179459
PRAMEF13,chr1,13196188,13201409
PRAMEF18,chr1,13222705,13226106
PRAMEF31P,chr1,13245863,13248652
PRAMEF5,chr1,13254212,13263314
PRAMEF32P,chr1,13273539,13275627
RNU6-771P,chr1,13279125,13279231
PRAMEF8,chr1,13281035,13285174
PRAMEF33,chr1,13303539,13308907
PRAMEF15,chr1,13315581,13322598
ENSG00000228229,chr1,13324039,13324518
PRAMEF14,chr1,13341892,13347134
PRAMEF19,chr1,13369067,13371900
PRAMEF17,chr1,13389632,13392629
PRAMEF20,chr1,13416351,13421328
LRRC38,chr1,13474973,13514003
ENSG00000259961,chr1,13513220,13516270
BRWD1P1,chr1,13555001,13555694
PDPN,chr1,13583465,13617957
RNA5SP41,chr1,13623184,13623284
ENSG00000237445,chr1,13657311,13659910
ENSG00000253085,chr1,13696070,13696199
PRDM2,chr1,13700188,13825079
ENSG00000289380,chr1,13757778,13758465
KAZN,chr1,13892792,15118043
RNU6-1265P,chr1,14124233,14124335
ENSG00000231606,chr1,14221887,14304445
KAZN-AS1,chr1,14338825,14419973
TBCAP2,chr1,14692129,14692613
ENSG00000287756,chr1,14774469,14777727
TMEM51-AS1,chr1,15111815,15153618
TMEM51,chr1,15152532,15220478
TMEM51-AS2,chr1,15164344,15171317
MFFP1,chr1,15191828,15192845
ZBTB2P1,chr1,15226373,15227549
FHAD1,chr1,15236521,15400283
FHAD1-AS1,chr1,15326680,15343876
ENSG00000236045,chr1,15334166,15335464
ENSG00000228140,chr1,15402979,15409433
EFHD2,chr1,15409888,15430339
CTRC,chr1,15438442,15449242
CELA2A,chr1,15456728,15472091
CELA2B,chr1,15465909,15491395
CASP9,chr1,15490832,15526534
DNAJC16,chr1,15526813,15592379
SCARNA21B,chr1,15542165,15542304
ENSG00000272510,chr1,15565611,15565956
AGMAT,chr1,15571699,15585051
ENSG00000237301,chr1,15586136,15603626
CHCHD2P6,chr1,15604597,15605043
RNU7-179P,chr1,15608078,15608145
CD24P1,chr1,15614643,15614867
DDI2,chr1,15617458,15669044
RSC1A1,chr1,15659713,15662033
ENSG00000271742,chr1,15682873,15683128
PLEKHM2,chr1,15684320,15734769
ENSG00000237938,chr1,15720312,15736896
SLC25A34,chr1,15736258,15741392
SLC25A34-AS1,chr1,15740048,15749896
TMEM82,chr1,15742499,15747982
FBLIM1,chr1,15756607,15786594
RPL12P14,chr1,15792796,15793285
UQCRHL,chr1,15807169,15809348
ENSG00000178715,chr1,15828232,15828669
FLJ37453,chr1,15834474,15848147
SPEN,chr1,15836095,15940456
ENSG00000270620,chr1,15917698,15917908
ZBTB17,chr1,15941869,15976132
ENSG00000234607,chr1,15969632,15970194
ENSG00000231353,chr1,15988182,15988441
ENSG00000275503,chr1,15989140,15989375
TBC1D3P6,chr1,15989871,15994751
SRARP,chr1,16004236,16008807
ENSG00000233078,chr1,16006160,16006671
HSPB7,chr1,16014028,16019594
CLCNKA,chr1,16018875,16034050
ENSG00000232456,chr1,16035178,16040029
CLCNKB,chr1,16040252,16057311
FAM131C,chr1,16057769,16073651
EPHA2,chr1,16124337,16156069
ENSG00000227959,chr1,16155176,16158148
ENSG00000224621,chr1,16159266,16161883
ARHGEF19-AS1,chr1,16197854,16198357
ARHGEF19,chr1,16197854,16212652
ANO7L1,chr1,16215907,16228027
ENSG00000288398,chr1,16228674,16231335
CPLANE2,chr1,16231692,16237183
MT1XP1,chr1,16241213,16241398
FBXO42,chr1,16246840,16352480
SZRD1,chr1,16352575,16398145
RPL22P3,chr1,16369150,16369530
SPATA21,chr1,16387117,16437424
NECAP2,chr1,16440721,16460078
LINC01772,chr1,16460948,16468481
CROCCP3,chr1,16467436,16499257
RNU1-1,chr1,16514122,16514285
ENSG00000261135,chr1,16514645,16515754
ENSG00000285853,chr1,16515034,16521788
ENSG00000224174,chr1,16520694,16521796
LINC01783,chr1,16533886,16535649
RNU1-6P,chr1,16534081,16534224
PDE4DIPP8,chr1,16548651,16552531
NBPF1,chr1,16562319,16613562
ENSG00000271732,chr1,16617391,16617729
CROCCP2,chr1,16618253,16657232
ENSG00000283773,chr1,16642767,16643109
MST1P2,chr1,16645622,16650289
ENSG00000282143,chr1,16656879,16667524
RNU1-3,chr1,16666785,16666948
ENSG00000280114,chr1,16681097,16688749
EIF1AXP1,chr1,16685621,16686055
ESPNP,chr1,16687339,16720157
ENSG00000279151,chr1,16701546,16705594
ENSG00000282740,chr1,16739938,16750589
CROCC,chr1,16740273,16972964
CROCCP4,chr1,16740280,16750968
RNU1-4,chr1,16740516,16740679
MST1L,chr1,16754910,16770237
ENSG00000223643,chr1,16851257,16853129
PDE4DIPP9,chr1,16855407,16859284
MIR3675,chr1,16858949,16859021
ENSG00000228549,chr1,16870945,16883659
RNU1-5P,chr1,16873708,16873851
ENSG00000238142,chr1,16887577,16889725
ENSG00000235241,chr1,16889095,16889602
RNU1-2,chr1,16895980,16896143
ENSG00000272426,chr1,16904339,16904776
MFAP2,chr1,16974502,16980632
ENSG00000286898,chr1,16976302,16977792
ENSG00000226526,chr1,16978926,17005091
ATP13A2,chr1,16985958,17011928
ENSG00000288636,chr1,17005068,17011757
SDHB,chr1,17018722,17054032
PADI2,chr1,17066761,17119451
LINC02783,chr1,17189783,17197617
ENSG00000282843,chr1,17193232,17201733
PADI1,chr1,17205128,17246007
PADI3,chr1,17249098,17284233
MIR3972,chr1,17277889,17277975
PADI4,chr1,17308195,17364004
PADI6,chr1,17372196,17401699
RCC2-AS1,chr1,17406760,17407382
RCC2,chr1,17406760,17439677
ARHGEF10L,chr1,17539698,17697874
LINC02810,chr1,17717625,17749978
ACTL8,chr1,17755333,17827063
ENSG00000284653,chr1,18015712,18045612
LINC01654,chr1,18065657,18074412
IGSF21,chr1,18107798,18378483
ENSG00000280222,chr1,18109389,18115861
IGSF21-AS1,chr1,18166929,18179346
ENSG00000225387,chr1,18385829,18388514
KLHDC7A,chr1,18480930,18485974
DYNLL1P3,chr1,18513118,18513383
ENSG00000225478,chr1,18595414,18595636
PAX7,chr1,18630846,18748866
TAS1R2,chr1,18839599,18859682
ALDH4A1,chr1,18871430,18902724
MIR4695,chr1,18883202,18883275
MIR1290,chr1,18897071,18897148
IFFO2,chr1,18904280,18956676
ENSG00000272084,chr1,19072110,19075511
UBR4,chr1,19074510,19210266
EMC1-AS1,chr1,19210355,19240704
EMC1,chr1,19215660,19251552
MRTO4,chr1,19251805,19260128
ENSG00000286064,chr1,19260521,19262307
AKR7L,chr1,19265982,19274194
AKR7A3,chr1,19282573,19288770
ENSG00000270728,chr1,19297080,19297903
AKR7A2,chr1,19303965,19312144
RNU6-1099P,chr1,19305076,19305182
SLC66A1,chr1,19312326,19329300
CAPZB,chr1,19338775,19485539
RN7SL277P,chr1,19424384,19424671
MICOS10,chr1,19484403,19629821
RNU4-28P,chr1,19510593,19510733
ENSG00000235185,chr1,19591802,19596832
NBL1,chr1,19596979,19658456
MICOS10-NBL1,chr1,19597067,19656927
ENSG00000226396,chr1,19608114,19608568
HTR6,chr1,19664875,19680966
TMCO4,chr1,19682240,19799945
RNF186,chr1,19814029,19815283
ENSG00000235434,chr1,19814367,19819502
OTUD3,chr1,19882395,19912945
PLA2G2E,chr1,19920009,19923617
RN7SL304P,chr1,19970969,19971269
PLA2G2A,chr1,19975431,19980416
PLA2G5,chr1,20028179,20091911
PLA2G2D,chr1,20111939,20119566
PLA2G2F,chr1,20139323,20150381
ENSG00000227066,chr1,20154171,20160568
PLA2G2C,chr1,20161253,20186518
UBXN10,chr1,20186096,20196050
LINC01757,chr1,20243095,20244664
ENSG00000284710,chr1,20272018,20275005
VWA5B1,chr1,20290875,20359518
ENSG00000226664,chr1,20294211,20323187
LINC01141,chr1,20360579,20431234
ENSG00000226487,chr1,20412304,20413253
ENSG00000284641,chr1,20476222,20478937
ENSG00000284743,chr1,20478779,20480397
CAMK2N1,chr1,20482391,20486210
ENSG00000289402,chr1,20486358,20487374
MUL1,chr1,20499448,20508151
RPS4XP4,chr1,20525989,20526751
FAM43B,chr1,20552573,20555020
CDA,chr1,20589086,20618903
PINK1,chr1,20633458,20651511
MIR6084,chr1,20633679,20633788
PINK1-AS,chr1,20642657,20652193
DDOST,chr1,20651767,20661544
KIF17,chr1,20664014,20718017
ENSG00000235432,chr1,20692734,20694013
SH2D5,chr1,20719731,20732837
ENSG00000233069,chr1,20732880,20733952
HP1BP3,chr1,20740266,20787323
EIF4G3,chr1,20806292,21177285
RNU7-200P,chr1,20841241,20841302
MIR1256,chr1,20988314,20988432
RPS15AP6,chr1,21003550,21003934
ENSG00000236073,chr1,21073639,21073753
HSPE1P27,chr1,21161475,21162081
ENSG00000287192,chr1,21177054,21178164
ECE1,chr1,21217247,21345572
ENSG00000236936,chr1,21266082,21267251
ECE1-AS1,chr1,21293290,21299874
PPP1R11P1,chr1,21397987,21398362
PDE4DIPP10,chr1,21411460,21413293
ENSG00000236009,chr1,21415898,21417492
NBPF2P,chr1,21424625,21427967
HS6ST1P1,chr1,21428303,21429536
CROCCP5,chr1,21434318,21437558
NBPF3,chr1,21440128,21485005
PFN1P10,chr1,21459756,21460082
ALPL,chr1,21509397,21578410
LINC02596,chr1,21586472,21591187
RAP1GAP,chr1,21596221,21669357
USP48,chr1,21678298,21783606
ENSG00000231978,chr1,21768269,21768575
LDLRAD2,chr1,21812265,21825225
HSPG2,chr1,21822244,21937310
ENSG00000232037,chr1,21908098,21908580
ENSG00000283234,chr1,21950679,21956871
CELA3B,chr1,21977022,21998642
ENSG00000285959,chr1,21983606,22030617
RN7SL386P,chr1,21987481,21987777
RNU6-1022P,chr1,21987816,21987919
CELA3A,chr1,22001657,22012542
RN7SL186P,chr1,22010650,22010946
RNU6-776P,chr1,22010985,22011088
LINC01635,chr1,22023990,22026048
LINC00339,chr1,22024558,22031223
CDC42,chr1,22025511,22101360
CDC42-AS1,chr1,22028317,22052927
